# Wavelength(nm)	SPD
1986	0.119200
1987	0.119400
1988	0.119600
1989	0.119800
1990	0.120000
1991	0.119400
1992	0.118800
1993	0.118200
1994	0.117600
1995	0.117000
1996	0.117000
1997	0.117000
1998	0.117000
1999	0.117000
2000	0.117000
2001	0.116600
2002	0.116200
2003	0.115800
2004	0.115400
2005	0.115000
2006	0.115000
2007	0.115000
2008	0.115000
2009	0.115000
2010	0.115000
2011	0.114800
2012	0.114600
2013	0.114400
2014	0.114200
2015	0.114000
2016	0.113600
2017	0.113200
2018	0.112800
2019	0.112400
2020	0.112000
2021	0.112000
2022	0.112000
2023	0.112000
2024	0.112000
2025	0.112000
2026	0.111600
2027	0.111200
2028	0.110800
2029	0.110400
2030	0.110000
2031	0.109800
2032	0.109600
2033	0.109400
2034	0.109200
2035	0.109000
2036	0.108600
2037	0.108200
2038	0.107800
2039	0.107400
2040	0.107000
2041	0.107200
2042	0.107400
2043	0.107600
2044	0.107800
2045	0.108000
2046	0.107600
2047	0.107200
2048	0.106800
2049	0.106400
2050	0.106000
2051	0.105800
2052	0.105600
2053	0.105400
2054	0.105200
2055	0.105000
2056	0.104600
2057	0.104200
2058	0.103800
2059	0.103400
2060	0.103000
2061	0.102800
2062	0.102600
2063	0.102400
2064	0.102200
2065	0.102000
2066	0.101800
2067	0.101600
2068	0.101400
2069	0.101200
2070	0.101000
2071	0.101000
2072	0.101000
2073	0.101000
2074	0.101000
2075	0.101000
2076	0.100660
2077	0.100320
2078	0.099980
2079	0.099640
2080	0.099300
2081	0.099100
2082	0.098900
2083	0.098700
2084	0.098500
2085	0.098300
2086	0.098140
2087	0.097980
2088	0.097820
2089	0.097660
2090	0.097500
2091	0.097200
2092	0.096900
2093	0.096600
2094	0.096300
2095	0.096000
2096	0.096040
2097	0.096080
2098	0.096120
2099	0.096160
2100	0.096200
2101	0.096120
2102	0.096040
2103	0.095960
2104	0.095880
2105	0.095800
2106	0.095560
2107	0.095320
2108	0.095080
2109	0.094840
2110	0.094600
2111	0.094460
2112	0.094320
2113	0.094180
